Cluster,Members,Representative,"Weighted Score"
0,69,Center,-1190.8
0,69,"Lowest Energy",-1269.4
1,56,Center,-980.6
1,56,"Lowest Energy",-1075.3
2,52,Center,-1003.0
2,52,"Lowest Energy",-1165.7
3,48,Center,-1160.0
3,48,"Lowest Energy",-1160.0
4,43,Center,-953.7
4,43,"Lowest Energy",-1061.3
5,40,Center,-899.4
5,40,"Lowest Energy",-952.8
6,39,Center,-872.9
6,39,"Lowest Energy",-1028.8
7,36,Center,-1116.7
7,36,"Lowest Energy",-1116.7
8,26,Center,-935.2
8,26,"Lowest Energy",-1073.3
9,26,Center,-909.7
9,26,"Lowest Energy",-1034.8
10,25,Center,-998.3
10,25,"Lowest Energy",-998.3
11,25,Center,-962.1
11,25,"Lowest Energy",-980.1
12,22,Center,-878.6
12,22,"Lowest Energy",-1035.1
13,21,Center,-994.8
13,21,"Lowest Energy",-1110.9
14,20,Center,-962.0
14,20,"Lowest Energy",-1051.8
15,19,Center,-881.7
15,19,"Lowest Energy",-897.3
16,17,Center,-1119.0
16,17,"Lowest Energy",-1119.0
17,17,Center,-993.2
17,17,"Lowest Energy",-1035.1
18,16,Center,-985.1
18,16,"Lowest Energy",-985.1
19,16,Center,-896.7
19,16,"Lowest Energy",-945.2
20,15,Center,-920.6
20,15,"Lowest Energy",-956.9
21,14,Center,-1005.5
21,14,"Lowest Energy",-1005.5
22,14,Center,-930.3
22,14,"Lowest Energy",-1002.3
23,13,Center,-1012.9
23,13,"Lowest Energy",-1012.9
24,12,Center,-933.9
24,12,"Lowest Energy",-933.9
25,12,Center,-910.2
25,12,"Lowest Energy",-910.2
26,11,Center,-997.8
26,11,"Lowest Energy",-997.8
27,11,Center,-912.8
27,11,"Lowest Energy",-1002.0
28,8,Center,-917.2
28,8,"Lowest Energy",-935.8
29,6,Center,-866.9
29,6,"Lowest Energy",-876.4
