Cluster,Members,Representative,"Weighted Score"
0,58,Center,-889.2
0,58,"Lowest Energy",-1070.0
1,56,Center,-944.9
1,56,"Lowest Energy",-1109.9
2,52,Center,-932.2
2,52,"Lowest Energy",-1038.3
3,49,Center,-868.5
3,49,"Lowest Energy",-1007.1
4,45,Center,-917.1
4,45,"Lowest Energy",-1029.9
5,39,Center,-927.7
5,39,"Lowest Energy",-1087.2
6,38,Center,-895.4
6,38,"Lowest Energy",-948.9
7,38,Center,-985.4
7,38,"Lowest Energy",-985.4
8,34,Center,-958.0
8,34,"Lowest Energy",-1048.4
9,27,Center,-954.4
9,27,"Lowest Energy",-1186.1
10,23,Center,-968.8
10,23,"Lowest Energy",-996.1
11,22,Center,-999.4
11,22,"Lowest Energy",-999.4
12,19,Center,-828.9
12,19,"Lowest Energy",-1023.1
13,18,Center,-832.5
13,18,"Lowest Energy",-942.4
14,18,Center,-1100.7
14,18,"Lowest Energy",-1100.7
15,18,Center,-927.6
15,18,"Lowest Energy",-944.5
16,15,Center,-872.4
16,15,"Lowest Energy",-955.6
17,15,Center,-911.6
17,15,"Lowest Energy",-911.6
18,15,Center,-879.5
18,15,"Lowest Energy",-879.5
19,14,Center,-916.3
19,14,"Lowest Energy",-964.9
20,14,Center,-934.5
20,14,"Lowest Energy",-934.5
21,13,Center,-916.4
21,13,"Lowest Energy",-916.4
22,12,Center,-865.1
22,12,"Lowest Energy",-932.6
23,12,Center,-844.4
23,12,"Lowest Energy",-910.0
24,11,Center,-862.9
24,11,"Lowest Energy",-862.9
25,11,Center,-824.8
25,11,"Lowest Energy",-874.9
26,10,Center,-914.7
26,10,"Lowest Energy",-914.7
27,10,Center,-876.0
27,10,"Lowest Energy",-876.0
28,10,Center,-865.2
28,10,"Lowest Energy",-865.2
29,9,Center,-846.8
29,9,"Lowest Energy",-878.7
