Cluster,Members,Representative,"Weighted Score"
0,66,Center,-691.7
0,66,"Lowest Energy",-744.0
1,65,Center,-917.9
1,65,"Lowest Energy",-940.1
2,47,Center,-738.5
2,47,"Lowest Energy",-856.4
3,44,Center,-811.0
3,44,"Lowest Energy",-903.7
4,41,Center,-728.2
4,41,"Lowest Energy",-834.5
5,32,Center,-817.0
5,32,"Lowest Energy",-817.0
6,29,Center,-799.0
6,29,"Lowest Energy",-799.0
7,28,Center,-681.2
7,28,"Lowest Energy",-829.3
8,26,Center,-701.5
8,26,"Lowest Energy",-773.1
9,25,Center,-800.0
9,25,"Lowest Energy",-843.6
10,25,Center,-787.2
10,25,"Lowest Energy",-787.2
11,25,Center,-668.8
11,25,"Lowest Energy",-740.9
12,23,Center,-701.9
12,23,"Lowest Energy",-799.9
13,22,Center,-742.5
13,22,"Lowest Energy",-805.8
14,21,Center,-655.8
14,21,"Lowest Energy",-942.9
15,20,Center,-819.2
15,20,"Lowest Energy",-819.2
16,18,Center,-732.5
16,18,"Lowest Energy",-755.0
17,17,Center,-668.3
17,17,"Lowest Energy",-845.3
18,16,Center,-779.5
18,16,"Lowest Energy",-779.5
19,15,Center,-702.2
19,15,"Lowest Energy",-757.3
20,14,Center,-655.9
20,14,"Lowest Energy",-691.2
21,13,Center,-708.3
21,13,"Lowest Energy",-708.3
22,13,Center,-779.2
22,13,"Lowest Energy",-779.2
23,12,Center,-699.9
23,12,"Lowest Energy",-729.9
24,12,Center,-735.4
24,12,"Lowest Energy",-735.4
25,12,Center,-708.8
25,12,"Lowest Energy",-708.8
26,11,Center,-708.8
26,11,"Lowest Energy",-858.0
27,10,Center,-716.7
27,10,"Lowest Energy",-716.7
28,10,Center,-670.3
28,10,"Lowest Energy",-711.7
29,10,Center,-769.4
29,10,"Lowest Energy",-769.4
