Cluster,Members,Representative,"Weighted Score"
0,50,Center,-886.8
0,50,"Lowest Energy",-1027.4
1,40,Center,-780.6
1,40,"Lowest Energy",-878.0
2,38,Center,-993.3
2,38,"Lowest Energy",-994.1
3,38,Center,-787.1
3,38,"Lowest Energy",-831.2
4,28,Center,-804.1
4,28,"Lowest Energy",-902.9
5,26,Center,-949.2
5,26,"Lowest Energy",-1014.8
6,25,Center,-737.6
6,25,"Lowest Energy",-921.8
7,23,Center,-932.5
7,23,"Lowest Energy",-932.5
8,23,Center,-837.9
8,23,"Lowest Energy",-837.9
9,19,Center,-741.4
9,19,"Lowest Energy",-903.5
10,16,Center,-717.4
10,16,"Lowest Energy",-800.2
11,16,Center,-830.5
11,16,"Lowest Energy",-830.5
12,15,Center,-861.6
12,15,"Lowest Energy",-861.6
13,15,Center,-809.7
13,15,"Lowest Energy",-809.7
14,14,Center,-802.5
14,14,"Lowest Energy",-802.5
15,13,Center,-736.0
15,13,"Lowest Energy",-816.1
16,13,Center,-821.5
16,13,"Lowest Energy",-821.5
17,13,Center,-806.0
17,13,"Lowest Energy",-853.9
18,13,Center,-789.8
18,13,"Lowest Energy",-789.8
19,13,Center,-748.2
19,13,"Lowest Energy",-778.2
20,12,Center,-799.6
20,12,"Lowest Energy",-799.6
21,11,Center,-942.6
21,11,"Lowest Energy",-942.6
22,11,Center,-862.9
22,11,"Lowest Energy",-862.9
23,11,Center,-731.7
23,11,"Lowest Energy",-866.6
24,10,Center,-715.7
24,10,"Lowest Energy",-817.3
25,10,Center,-796.0
25,10,"Lowest Energy",-838.8
26,10,Center,-786.3
26,10,"Lowest Energy",-786.3
27,10,Center,-747.0
27,10,"Lowest Energy",-784.0
28,7,Center,-718.9
28,7,"Lowest Energy",-750.8
29,7,Center,-757.6
29,7,"Lowest Energy",-798.1
